reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4746a49f-6d7f-465f-9dab-4167c5421e65,Jamshed Ali,https://play-lh.googleusercontent.com/a-/ALV-UjVGT_H325XT0wr6n43hIDWTAW87WidoLoSpDsLxniumRq8,trade execution delay,1,0,2.80.4,2024-03-24 09:47:31,"Hi Ali. Please ensure you have a stable internet connection and you can download the latest version at http://www.binance.com/en/download. It's crucial to back up your Web3/DeFi Wallet to avoid any potential loss of funds. If the issue persists, contact us at http://www.binance.com/en/chat for more assistance. VL",2024-03-24 10:04:14,2.80.4
84d3e7c4-259c-47ef-9ca6-6a44244efc9e,Muhammd Nabi Khan,https://play-lh.googleusercontent.com/a/ACg8ocJCvN6RpksVUUf-uypLrRb5wM4KGD0bNtI9AJKkZ5dx=mo,Good,5,0,,2024-03-24 09:43:49,Hello Nabi! Thank you for taking the time to rate us! We are happy to receive so many stars along with your affection. If you need to contact us for any questions or queries please visit the link: http://binance.com/en/chat. Thanks! ^BT,2024-03-24 10:22:29,
24a86b33-bb90-40be-b7ae-4f66bc4fa2f1,Serdar Atayev,https://play-lh.googleusercontent.com/a-/ALV-UjXPVnSccvLUIOvwqog4XMBOs8HwhgpvhRR5uKpK5kguGw,"Binance blocks accounts without any explanations. This is unacceptable. Rules are for both parties of agreement. If they block user account, they should inform their client for reasons. It's not a joke. It's abt money. And I am pretty sure Binance switched to AI in support department. This is kind of humiliating treatment of clients. Sorry if I'm wrong but I have this feeling after applying for appeal several times.",1,0,2.80.4,2024-03-24 09:38:54,"Hey there Serdar! Thank you for reaching out to us. We are here to help you out. We would be more than happy to take a deeper look into your issue and investigate further with our related team. To be able to do that, we kindly ask you to contact our support from here http://binance.com/en/chat. Thank you. ^AE",2024-03-23 20:11:45,2.80.4
143aa1a8-76b6-452f-add4-f44ca9a4a524,Shoaibk Khan,https://play-lh.googleusercontent.com/a-/ALV-UjUbTH692ndno8buvAIp4H8y4upJFI7oL-TrbvqbV3OrBA,good application please give me 1000$,5,0,2.80.4,2024-03-24 09:33:16,,,2.80.4
08d5b3bf-d210-4019-886a-8f0b80026718,Monaher01 mia,https://play-lh.googleusercontent.com/a-/ALV-UjX7qgELylif2kitnhzxV1Zj0dUc2ho4ckxjq3V2wXC_FQ,GOOD,5,0,,2024-03-24 09:29:34,,,
2ca649aa-6f2d-4e21-ad12-7c501138d43d,Ariyan Shuvo,https://play-lh.googleusercontent.com/a/ACg8ocKtlQoaSLcLhRvM7aL0cd3MlsYzscvkfP9yd3czprT6=mo,good app,5,0,2.80.4,2024-03-24 09:29:04,,,2.80.4
6fa084ee-331b-46e5-8621-5ee920ef4090,Shabir M J F,https://play-lh.googleusercontent.com/a-/ALV-UjUwwFfjWoMUti1eMR43-lI8D0u207sa2ZsOd9f0fYVZqiY,You App does not display charts and need to re-start. Most of the time Hangs. Reinstalling did not help,2,0,2.80.5,2024-03-24 09:25:04,"Hi Shabir. Please ensure you have cleared your app's cache and you can download the latest version at http://www.binance.com/en/download. It's crucial to back up your Web3/DeFi Wallet to avoid any potential loss of funds. If the issue persists, contact us at http://www.binance.com/en/chat for more assistance. VL",2024-03-24 09:36:08,2.80.5
18aa2fc3-d2cb-400b-8469-c53a1671e3fa,Zack Byama,https://play-lh.googleusercontent.com/a-/ALV-UjWUpmAXDDDmldHvzAANoe-DujNx_O2iThJADQZmGY1UIw,"All in on, ... the best one!",5,0,2.79.5,2024-03-24 09:23:37,"Hello Zack! Thank you for using our app and taking the time to rate us. These 5 stars motivate us to improve more and more! If you need anything, you can talk to us in our chat: http://binance.com/en/chat. Thanks! ^BT",2024-03-24 10:23:36,2.79.5
f6a9a34d-2e07-455b-9c5f-4496ee24f582,Kawsar Ahmed,https://play-lh.googleusercontent.com/a-/ALV-UjXIWyNqXKzHmlD2w7XmIbnOikmTANRxYTwNJ5I0vQ6zKQ,good app,5,0,2.80.4,2024-03-24 09:18:50,"Hello Ahmed! Thank you for your feedback. Your satisfaction is our primary motivation. We take the opportunity to remind you that our support works 24 hours a day and if you need help, we can allocate one of our specialists to help you in real-time through the link: http://binance.com/en/chat. Thanks! ^BT",2024-03-24 10:24:19,2.80.4
b4048b69-2e1b-496b-b576-8b1a05278843,Kati Kaspere,https://play-lh.googleusercontent.com/a/ACg8ocIjx3ynBlhuh_DXf23DpNT8p9A3W8VKgyndwaHpHGw=mo,I'm joining binance. I recommend it globally,5,0,,2024-03-24 09:17:49,,,
77d059f3-190f-47fb-921f-1e90833bb325,Ahferom Tube,https://play-lh.googleusercontent.com/a-/ALV-UjWgD0hrqD6mebRzPZgpdD0pVv7gFeDuG0sZbffUg3yTIE0,"Binance, a crypto king platform",5,0,2.80.4,2024-03-24 09:06:14,"Hello Binancian! Thank you for your review, such nice comments make us very happy. If you need to contact us at any time, we are available 24/7 here -:> http://binance.com/en/chat. Thanks! ^BT",2024-03-24 10:26:04,2.80.4
cc32138d-be2d-469a-a457-a5299841fedd,Sufiyan Ashraf,https://play-lh.googleusercontent.com/a-/ALV-UjUfhHElb5jRoRe-FphkqTwmNvvh4C4udB3VKld2dxzSvcU,yas,5,0,2.80.4,2024-03-24 08:59:30,,,2.80.4
6979df10-8191-4639-beb3-f17dbca978f3,Qazi Nabeel,https://play-lh.googleusercontent.com/a/ACg8ocLwOdpHsg-RB7oc9_TrtgzK0lrWfZVVaRDZJ_ByFMAL=mo,good,5,0,2.80.4,2024-03-24 08:58:34,,,2.80.4
3515a49d-835f-40f7-8eb4-6b923942a08b,Tariq Beauty Hair Salon,https://play-lh.googleusercontent.com/a-/ALV-UjWBz2cokaXn6F19MIU_0laRFx8virkqTjL8ZMgR_QVQeA,yas,5,0,2.80.4,2024-03-24 08:51:53,,,2.80.4
55997d09-f177-4186-bd6f-fe51b5f56067,Sk Siam,https://play-lh.googleusercontent.com/a-/ALV-UjWrGaOnILrR4ccQG72kpzPtM-pVvcri32eIF1P1IPqHXg,💙❤️💜🥀,5,0,2.80.5,2024-03-24 08:50:08,,,2.80.5
719714da-6157-495d-a920-3f505e2712dd,James Shipper,https://play-lh.googleusercontent.com/a-/ALV-UjVuyP4n45M2ATXdEVILfjvq7D9WkLDQAyzYY8KfgwYxJ_Y,Binance Web3 Wallet worse,1,0,2.80.4,2024-03-24 08:32:19,"Hi James, we'd like to understand the issue and help you with it. Kindly share your details at http://binance.com/en/chat. We will check and get back to you on this. -VA",2024-03-24 08:47:35,2.80.4
e162b248-6e4b-4398-9997-40ac85912fa8,Hadi Khan,https://play-lh.googleusercontent.com/a/ACg8ocI01jOwkqc3XeoVLo7FcT3NqF_J3niKbzvdj-rGrXJ4=mo,best traders,5,0,2.80.4,2024-03-24 08:25:58,,,2.80.4
