reviewId,userName,content,score,appVersion
500f7fe8-1b13-4239-a9b7-2464cc96823a,Kiên Lê,quá nhìu map,1,1.53.1.3
6cd6c66c-ea2e-4c71-91e5-43ae56be2d5c,Gia Thinh Huynh,Bị lỗi đồ họa thì lsao bây h;((((,3,1.53.1.3
a1165ecf-7f96-4584-8b8a-0a4bbc6799fc,Hung Luong,10 diem ko co nhung,5,
15949bc6-1fdf-476d-b7d8-f69bf3e3814e,Ken Wu,Ok,5,1.52.1.5
81572dbe-df1f-44ce-aa18-517e4c63636c,Anh Vu,Pê,5,
67709063-4ca7-426f-9e16-727635a87e66,Nam Hạo,Chs cuốn,5,
38974435-e9c0-4e6e-be4b-50aec395c779,Thị Trang Võ,hay,5,1.53.1.3
057ef312-e61e-4f9b-a733-509df1b4cd81,Congthanhh Ha,Game gì mà lát thế dùng wi-fi đang đầy mạng đang ổn Định mà chơi cứ lát liên tụC,2,1.53.1.3
65ecc8fb-8e52-46e3-9a4a-b5f38dadf812,Thị Hạ Thân,Hay:)),5,
4977932c-a90b-4aff-8cf4-7b68cb3bc8f8,Hang Khach,Toàn gei chê game🐸,5,1.53.1.3
d1b17efe-a3eb-47f4-9449-2e94707faa1d,An nhien Huynh nguyen,Rất hay,5,
691e4375-de10-4161-86e9-4e7193a497d5,Nguyễn Thị Thu Thanh,Hay rất hay hay hơn cả fifai,5,
8f4a28cf-0566-477f-9018-91f5c338a053,Y Nguyen,Choi hoi Hi vui,5,1.53.1.3
43daa6f2-a218-4c45-9aa4-6179e9a3eaf6,Thanh hoa Luong,Dui,5,1.53.1.3
cc9aae6a-8252-48c7-9864-6658c7dec93e,Trang Bùi thị trang,Game Liên Quân rất hay,5,
01c51f0b-3a8b-4b90-953d-cac2244f0a22,Thiên Lý Nguyễn,Game chơi r là ok,5,
be96466b-19ff-4d77-b05d-6d45ac2ada4b,Tuyen Nguyen,Tốt,5,1.53.1.3
da35e87b-dde6-4f9a-9626-a15f6321afa1,Do Phuong Dung,hay,5,
f6206f0b-dbba-4347-8e0c-d6ac16ae4f0f,Hzbs Shs,Chơi rất vui nên cho năm sao 😀,5,
214f612c-634f-41b1-a22d-2b9cea802b33,Khang Song,Geam rất hay,5,1.53.1.3
aa6831ec-9881-4a5a-932e-be02567e17ec,Ong ngọc Hiền,Game rất dễ chơi vui gánh team quá dễ dàng,5,1.43.1.3
a69e9ef7-56fb-4f82-b4a5-9284a8a17616,Hiep Huynh,Liên Q ơi hảy ra nhiều sự kiện tặng tướng nữa đi nha,5,1.53.1.3
c2b92a3e-54fc-4109-80f0-2a8804c0d231,Trung Vo,Rất hay,5,
1fe02593-c9bf-47e3-8b9e-e5c410f45ec4,Anh Mai hong,Hay,5,
5181a751-5460-4372-9ea9-9013a17e924f,Huyen Vu,Game rất hay.,5,
c8096a7a-8b51-4614-9720-94b89d0a3701,Ngọc lân Bùi,tuy còn gặp nhiều sv nhưng vẫn cho game 5*,5,
d42d3def-385b-4a6d-94f5-ee25ff8b7f1b,Dũng Bùi,Hãy nha những cần trị ân ngươi chơi nhiều hơn nữa để mội người chơi ko rời đi dạm việc trị ân silk b A lại nha g em đã hỏi nhiều người rồi và họ nói chất lượng game ngày càng kém,5,
2b23d9da-2785-4792-85e2-feeb51b3cb3b,Trọng Nguyễn Đức,Sangtr,5,
2cd72959-0375-4481-ba40-085411b39cb5,Khánh Nguyễn,Game hay nhưng đt hết Gb game như đặc cầu,5,
e4b67ae5-f624-4674-81be-38ebe961e948,Đức Vũ,Game rất hay,5,
d169664f-b460-490e-82f4-16de1a2035fa,mai nguyen,game lắm GB,3,1.53.1.3
960908d4-bcf3-45d6-9a00-59bf0e06e394,Trung Hoàng văn,Như Cái đb,5,1.53.1.3
7a374b8d-e3b4-4ffb-a64c-485818825da8,trí trịnh,goal🐐 ronaldo⚽️ messi🐓 degea🧤 haland🦈 onana🐆 pepe🐂,5,
258809f7-d325-4921-8792-6c3a7c41fd2b,Thu Thuy Phan,Không tải được,5,
bd6da42a-8d06-44ed-980d-d1f4a1db92bd,Hanh Le,Rất hay,5,
54d9ce50-58a3-4546-8ff0-fdb84e953e0b,Hanh Nguyễn,thắng bại tại kỹ năng,5,1.53.1.3
12491d81-e74d-4210-be94-5d2f64609769,phát Vũ Trọng anh,rất hay và nhiều con tui thích😁,5,
a94fd079-07f8-4f81-9409-28949e65f09d,Huy Nguyen,Game chơi khá vui,5,1.53.1.3
146dd8a7-1c81-41db-ba60-9e0a99927c09,Dung Nguyen,"game hay, mượt và đỉnh",5,
8e4c0a89-6f5f-4ac4-a48d-6d53119b3920,Quy Minhquy,choi qua hay,5,
2f23c784-2747-4879-a20e-7b1560bdbcd6,Tien Cao huu,Ok ko nói nhiều,5,
b4e677d6-2d5f-4f2d-a629-049c00435e6f,Cuong Vu van,Game hay,5,
dd22d328-a606-4927-acad-8b67d068a30b,Hieu 082000,Rất hay nha nhưng gặp hơi nhiều bút bẩn nha,5,1.53.1.3
f51b8393-f8d5-4988-ac67-f6f4ed41938d,Công Hầu Ngô,Ok,5,
7412a3de-d82b-4926-96a8-e456d56eabe0,Ngoan Phạm,GARENA LÀM QUÁ OK LÀM ƠN CHO TÔI 1 PHẦN QUÀ VỚI TÔI RẤT CẢM ƠN,5,
8b7f2e16-a3d1-48ab-a110-9f4c8da42849,manh lai,"Game hay kỹ năng ,nhx pha lật kèo mãn nhãn . Ai chơi game thấy hay thì kết bạn vs tui tên nick là _ThanhDuc_",5,
63f8f48a-29fe-4f81-aab9-116391f413e6,Toan Ngo,Cho ít mb thôi garena,5,1.44.1.6
07c9845c-58ca-4902-b147-f34305d86272,Nhất Nguyễn văn,Game rất hay ít gặp hack như game fai fai,5,
4cbc36bc-95f0-4f05-97ee-35050f2456d9,Tuan anh Thao,Đù má tôi không biết có j ko biết tao nhã và bạn trai cũ đi chụp hình cưới ngoại,5,
09611d8b-2902-4b59-af79-0d1c7407e329,Thanh my Pham,Game này chơi rất vui,5,
1a53f7e2-314c-4b6d-8962-b09b0eb9513c,Khanhlinh Vo,Vui Và nhân vật tự chọn đẹp,5,
a652b119-4b5e-4c9b-ab49-4a874a78cfd9,Tung anh,Ok,5,1.53.1.3
845a3b9d-e703-497f-b0f0-9688a50b43da,Văn Thưởng Lương,chay quá như lưu chùa,5,
ca6ca2ed-9bc8-4869-846d-259d7b5af254,Kiều Lê Văn,Game hay,5,
ad5d4884-479c-4533-b5d1-6a024cab897d,Duẩn Nguyễn viết,Gam hay vãiiiiiii,5,1.53.1.3
f56c2826-a22d-4f97-ac23-09485dcf6459,Dào Nguyễn,Lâu,5,
